{'date': '20231228172846', 'mission': 'ORBONE', 'device_type': 'satelite', 'device_status': 'excellent', 'hash': 1797960574795543807}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'traje', 'device_status': 'faulty', 'hash': '-5678972179623235201'}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'nave', 'device_status': 'excellent', 'hash': '-4424659935597816367'}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'traje', 'device_status': 'unknown', 'hash': '-5678972179623235201'}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'nave', 'device_status': 'faulty', 'hash': '-4424659935597816367'}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'nave', 'device_status': 'unknown', 'hash': '-4424659935597816367'}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'transbordador', 'device_status': 'faulty', 'hash': '-2320121022689309124'}
{'date': '20231228175654', 'mission': 'ORBONE', 'device_type': 'satelite', 'device_status': 'killed', 'hash': '-1557403430809297112'}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175924', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175925', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
